Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2021;;;;;;;;;;;;
Ano de Lançamento;CPB;Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF2;Distribuidora;Máximo de Salas;Público;Renda (R$)
2006;B0500183300000;No Meio Da Rua;Antonio Carlos Da Fontoura;Ficção;Canto Claro Produções Artísticas;RJ;-;-;Film Connection;8;2133;12317
2006;B0600504400000;Nzinga;Octávio Bezerra;Documentário;Olhar Feminino Produções;RJ;-;-;Olhar Feminino;1;21;212
2006;B0400051700000;O Amigo Invisível;Maria Letícia;Ficção;Estúdio, Pesquisa E Criações Artísticas/Quanta-Rio;RJ/RJ;-;-;Riofilme;4;1030;5517
2006;B0600572700000;O Ano Em Que Meus Pais Saíram De Férias;Cao Hamburger;Ficção;Caos Produções/Gullane;SP/SP;-;-;Buena Vista;70;368986;3169763
2006;B0600616600000;O Cavaleiro Didi E A Princesa Lili;Marcus Figueiredo;Ficção;Diler & Associados;RJ;-;-;Buena Vista;163;742340;4672418
2006;B0600587200000;O Céu De Suely;Karim Aïnouz;Ficção;Videofilmes;RJ;-;-;Downtown;10;73892;604614
2006;B0600496100000;O Dia Em Que O Brasil Esteve Aqui;Caito Ortiz;Documentário;Prodigo Films;SP;-;-;Pródigo;6;778;5300
2006;B0500434100000;O Homem Pode Voar - A Saga De Santos Dumont;Nelson Hoineff;Documentário;Comalt - Comunicação Alternativa;RJ;-;-;Riofilme;6;1912;16332
2006;B0600547100000;O Maior Amor Do Mundo;Cacá Diegues;Ficção;Luz Mágica Produções;RJ;Globo Filmes/Lereby;RJ/RJ;Sony;135;209741;1723672
2006;B0600451500000;O Sol - Caminhando Contra O Vento;Tetê Moraes;Documentário;Vemver Brasil;RJ;-;-;Riofilme;18;9401;49026
2006;B0500265400000;O Veneno Da Madrugada;Ruy Guerra;Ficção;Lagoa Cultural;RJ;-;-;Uip;5;3639;27907
2006;B0600592800000;Olhar Estrangeiro;Lucia Murat;Documentário;Taiga Filmes E Vídeo;RJ;Limite Produções;RJ;Riofilme;4;4750;33928
2006;B0600497600000;Outra Memória;Chico Faganello;Ficção;Filmes Que Voam;SC;-;-;Pipa;ND;976;4363
2006;B0500433200000;Se Eu Fosse Você;Daniel Filho;Ficção;Total Entertainment;RJ;Globo Filmes/Lereby;RJ/RJ;Fox;197;3644956;28916137
2006;B0600587800000;Solo Dios Sabe;Carlos Bolado;Ficção;Dezenove Som E Imagens;SP;-;-;Buena Vista;8;4301;29765
2006;B0600535300000;Sonhos E Desejos;Marcelo Santiago;Ficção;Filmes Do Equador;RJ;-;-;Uip;24;13613;108151
2006;B0400146400000;Soy Cuba, O Mamute Siberiano;Vicente Ferraz;Documentário;Três Mundos Produções;RJ;Urca Filmes;RJ;Imovision;6;16556;127740
2006;B0500438700000;Tapete Vermelho;Luiz Alberto Pereira;Ficção;Lapfilme;SP;Ccfbr Produções/Mastershot Produções/Estudios Quanta;SP/SP/SP;Pandora;28;50955;275515
2006;B0600605700000;Tow In Surfing;Jorge Guimarães/Rosaldo Cavalcanti;Documentário;Iaiá Filmes/Tow In Sports Brasil;RJ/RJ;-;-;Iaiá Filmes;2;2398;19935
2006;B0600552000000;Trair E Coçar É Só Começar;Moacyr Góes;Ficção;Diler & Associados;RJ;-;-;Fox;168;481006;3486329
2006;B0600471600000;Um Craque Chamado Divino;Penna Filho;Documentário;Penna Filho Produções;SC;-;-;Pandora;1;1148;8978
2006;B0600522500000;Veias E Vinhos: Uma História Brasileira;João Batista De Andrade;Ficção;Oeste Filmes;SP;Locall/Andrade Produções Cinematográficas;SP/SP;Polifilmes;2;4149;19091
2006;B0500230100000;Vestido De Noiva;Joffre Rodrigues;Ficção;Jbr Filmes;RJ;-;-;Riofilme;29;5871;45380
2006;B0500433000000;Vinho De Rosas;Elza Cataldo;Ficção;Persona Filmes;MG;-;-;Persona;2;23817;91817
2006;B0500436300000;Wood & Stock: Sexo, Orégano E Rock;Otto Guerra;Animação;Otto Desenhos Animados;RS;-;-;Downtown;15;55231;441039
2006;B0600616500000;Xuxa Gêmeas;Jorge Fernando;Ficção;Diler & Associados;RJ;-;-;Fox;277;1035700;5802977
2006;B0600535800000;Zuzu Angel;Sergio Rezende;Ficção;Toscana Audiovisual;RJ;Warner;SP;Warner;173;774318;5789238
2006;B0600533100000;Zé Pureza;Marcelo Ernandez;Documentário;Marcelo Ernandez;RJ;-;-;Pipa;2;415;1625
2006;B0500388300000;Árido Movie;Lírio Ferreira;Ficção;Cinema Brasil Digital;RJ;-;-;Europa/Mam;4;21729;285246
2007;B0700778300000;3 Efes;Carlos Gerbase;Ficção;Casa De Cinema De Porto Alegre;RS;Regra Três;RS;Casa De Cinema De Porto Alegre;6;1358;7690
2007;B0700735300000;3 Irmãos De Sangue;Ângela Patrícia Reiniger;Documentário;No Ar Comunicação;RJ;-;-;Filmes Do Estação;8;6873;64086
2007;B0400163000000;500 Almas;Joel Pizzini;Documentário;Grifa Filmes;SP;-;-;Riofilme;3;3833;26489
2007;B0700722200000;A Casa De Alice;Chico Teixeira;Ficção;Superfilmes;SP;-;-;Imovision;13;24625;186903
2007;B0600628300000;A Grande Família - O Filme;Maurício Farias;Ficção;Globo Filmes;RJ;-;-;Europa/Mam;262;2035576;15482240
2007;B0700676700000;A História Das Três Marias;Silvana Soares/Zackia Resende;Ficção;Zs Três Marias Audiovisuais;MG;-;-;Zs Três Marias Audiovisuais;1;ND;ND
2007;B0700641700000;A Turma Da Mônica Em Uma Aventura No Tempo;Maurício De Sousa;Animação;Diler & Associados;RJ;-;-;Buena Vista;160;545482;4010200
2007;B0700746500000;A Via Láctea;Lina Chamie;Ficção;Girafa Filmes;SP;-;-;Europa/Mam;5;13334;100271
2007;B0600514100000;Aboio;Marília Rocha;Documentário;Anavilhana/Grupo Novo De Cinema E Tv;MG/RJ;-;-;Iaiá Filmes;2;857;5870
2007;B0600527900000;Antônia;Tata Amaral;Ficção;Coração Da Selva;SP;-;-;Downtown;125;79428;600698
2007;B0500256500000;As Tentações Do Irmão Sebastião;José Araújo;Ficção;Ganesh Produções;CE;-;-;Riofilme;2;546;3086
2007;B0700658000000;Baixio Das Bestas;Claudio Assis;Ficção;Parabólica Brasil;PE;-;-;Imovision;10;48844;361846
2007;B0600599600000;Batismo De Sangue;Helvécio Ratton;Ficção;Quimera Filmes;MG;Estudios Quanta/Teleimage;SP/SP;Downtown;24;56535;402345
2007;B0700676800000;Bem-Vindo A São Paulo;Leon Cakoff;Documentário;Mostra Filmes;SP;Plateau Produções;SP;Videofilmes;10;4981;42249
2007;B0600578400000;Brasileirinho;Mika Kaurismaki;Documentário;Studio Uno Produções Artísticas;RJ;-;-;Riofilme;9;19090;165184
2007;B0600602300000;Brichos;Paulo Munhoz/Tadao Miaqui;Animação;Tecnokena;PR;-;-;Panda Filmes;21;7732;38583
2007;B0700648000000;Caixa Dois;Bruno Barreto;Ficção;Filmes Do Equador;RJ;Columbia Tristar Filmes Do Brasil/Movi & Art;SP/SP;Buena Vista;153;247292;2105386
2007;B0700659300000;Caparaó;Flavio Frederico;Documentário;Kinoscópio;SP;-;-;Kinoscópio;9;3508;21120
2007;B0600490200000;Carreiras;Domingos De Oliveira;Ficção;Teatro Ilustre Produções Artísticas;RJ;Renata Paschoal/Afinal Filmes/Roberto Talma/Ronald Teixeira Da Cunha;-/RJ/-/-;Filmes Do Estação;8;5778;42388
2007;B0700653100000;Cartola;Hilton Lacerda/Lírio Ferreira;Documentário;Raccord Produções;RJ;-;-;Riofilme;14;63924;520400
2007;B0700691900000;Cidade Dos Homens;Paulo Morelli;Ficção;O2 Filmes;SP;Globo Filmes/Guel Produtora;RJ/RJ;Fox;163;282425;2238343
2007;B0700725800000;Conceição - Autor Bom É Autor Morto;Daniel Caetano/Guilherme Sarmiento/Samantha Ribeiro;Ficção;Duas Mariola Filmes/Inventarte;RJ/RJ;-;-;Riofilme;3;2248;11013
2007;B0700656800000;Cão Sem Dono;Beto Brant/Renato Ciasca;Ficção;Drama Filmes;SP;Brasil Filmes/Megacolor;SP/SP;Downtown;4;31231;241780
2007;B0600471300000;Em Trânsito;Henri Gervaiseau;Documentário;4 Ventos Comunicação;RJ;-;-;Sem Distribuidora;1;579;1810
2007;B0600628200000;Encontro Com Milton Santos Ou: O Mundo Global Visto Do Lado De Cá;Silvio Tendler;Documentário;Caliban Produções Cinematográficas;RJ;-;-;Caliban;ND;15932;118017
2007;B0500353400000;Esses Moços;José Araripe Jr.;Ficção;Truque;BA;-;-;Pandora;6;2693;16646
2007;B0700680500000;Fabricando Tom Zé;Décio Matos Júnior;Documentário;Goiabada Productions/Muiraquitã Filmes/Primo Filmes/Spectra Midia Produções;SP/SP/SP/SP;-;-;Filmes Do Estação;12;16209;108437
2007;B0700643600000;Faixa De Areia;Daniela Kallmann/Flávia Lins E Silva;Documentário;Dk Produções;RJ;-;-;Film Connection;2;241;1343
2007;B0700785700000;Gigante - Como O Inter Conquistou O Mundo;Gustavo Spolidoro;Documentário;G7 Cinema;SP;-;-;G7 Cinema;6;23515;196117
2007;B0700752900000;Grupo Corpo 30 Anos - Uma Família Brasileira;Fábio Barreto;Documentário;Filmes Do Equador;RJ;-;-;Riofilme;8;2743;24479
2007;B0700676500000;Histórias Do Rio Negro;Luciano Cury;Documentário;Ink;SP;-;-;Downtown;2;1990;16594
2007;B0700644000000;Hércules 56;Silvio Da-Rin;Documentário;Amado Arte&Produção/Diálogo Comunicação;RJ/RJ;-;-;Riofilme;6;11820;69270
2007;-;I Hate São Paulo;Dardo Toledo Barros;Ficção;Intuit Filmes;SP;-;-;Intuit Films;1;215;566
2007;B0600555700000;Inacreditável - A Batalha Dos Aflitos;Beto Souza;Documentário;G7 Cinema/Tgd Filmes;SP/RS;-;-;G7 Cinema;ND;ND;ND
2007;B0700680400000;Inesquecível;Paulo Sérgio Almeida;Ficção;Morena Filmes;RJ;-;-;Buena Vista;53;59397;481334
2007;B0700758700000;Jogo De Cena;Eduardo Coutinho;Documentário;Matizar/Videofilmes;RJ/RJ;-;-;Videofilmes;8;44538;368113
2007;B0700692400000;Maria Bethânia - Pedrinha De Aruanda;Andrucha Waddington;Documentário;Quitanda;RJ;-;-;Filmes Do Estação;23;12065;106940
2007;B0500364700000;Mestre Bimba - A Capoeira Iluminada;Luiz Fernando Goulart;Documentário;Lumen Produções;RJ;Publytape;RJ;Riofilme;6;3336;21433
2007;B0600502500000;Meteoro;Diego De La Texera;Ficção;Cinelândia Produções;RJ;Skylight/Ananã Produções;RJ/RJ;Imovision;15;3518;24281
2007;B0700721300000;Mutum;Sandra Kogut;Ficção;Tambellini Filmes;RJ;-;-;Videofilmes;6;24728;205443
2007;B0600552200000;Noel - Poeta Da Vila;Ricardo Van Steen;Ficção;Zohar Cinema;RJ;Movi & Art/Tempo Design;SP/SP;Pandora;17;52461;411695
2007;B0700679600000;Nossa Senhora De Caravaggio;Fábio Barreto;Ficção;Martins Produções/Raccord Produções;RJ/RS;-;-;Riofilme;8;2185;13398
2007;B0700661700000;Não Por Acaso;Philippe Barcinsk;Ficção;O2 Filmes;SP;-;-;Fox;62;119973;980022
2007;B0700652000000;O Cheiro Do Ralo;Heitor Dhalia;Ficção;Rt Features;SP;Teleimage/Geração Conteúdo/Branca Filmes/Primo Filmes/Joana Mariani;SP/SP/SP/SP/-;Filmes Do Estação;18;172959;1437254
2007;B0600588700000;O Dono Do Mar;Odorico Mendes;Ficção;C B P C Centro Brasileiro De Produção Cultural/Chroma Filmes/Planifilmes;MA/-/SP;-;-;Pandora;14;4062;22101
2007;B0700638200000;O Engenho De Zé Lins;Vladimir Carvalho;Documentário;Urca Filmes;RJ;-;-;Imovision;5;7334;50703
2007;B0500210500000;O Fim Do Sem Fim;Beto Magalhães/Cao Guimarães/Lucas Bambozzi;Documentário;Bananeira Filmes;RJ;-;-;Filmes Do Estação;3;1190;9827
2007;B0700748600000;O Homem Que Desafiou O Diabo;Moacyr Góes;Ficção;Filmes Do Equador;RJ;Warner;SP;Warner;172;422855;2992203
2007;B0700691000000;O Longo Amanhecer - Cinebiografia De Celso Furtado;José Mariani;Documentário;Andaluz;RJ;-;-;Riofilme;1;1022;5443
2007;B0700766800000;O Magnata;Johnny Araújo;Ficção;Green Goes;SP;-;-;Buena Vista;67;149463;1141389
2007;B0600604600000;O Mundo Em Duas Voltas;David Schurman;Documentário;Gullane/Schurmann Filmes;SP/SP;Paulo Eduardo Ribeiro/Teleimage;-/SP;Europa/Mam;16;54683;507392
2007;B0700692800000;O Passado;Hector Babenco;Ficção;Hb Filmes;SP;-;-;Warner;50;174809;1608326
2007;B0700632300000;O Passageiro - Segredos De Adulto;Flávio Ramos Tambellini;Ficção;Hangar Filmes/Tambellini Filmes;RJ/RJ;-;-;Califórnia;13;5481;42880
2007;B0500433800000;O Quinze;Jurandir Oliveira;Ficção;Menescal Produções;RJ;-;-;Pipa;ND;110;330
2007;B0600581800000;Os 12 Trabalhos;Ricardo Elias;Ficção;Politheama Filmes;SP;Produtora Audiovisual Quark;SP;Imovision;9;21173;119716
2007;B0700807900000;Os Porralokinhas;Lui Farias;Ficção;Globo Filmes;RJ;Rf Cine Tv/Lmc Produções Artísticas/Lereby/Photo Síntese Rio Produções Cinematográficas;RJ/RJ/RJ/RJ;Universal;162;135015;797934
2007;B0700660400000;Oscar Niemeyer - A Vida É Um Sopro;Fabiano Maciel;Documentário;Sérgio Alexandre Martins Celeste; -;-;-;Pipa;8;10281;59884
2007;B0500445600000;Pampulha Ou A Invenção Do Mar De Minas;Oswaldo Caldeira;Documentário;Oswaldo Caldeira Produções Cinematográficas;RJ;-;-;Grupo Novo;ND;ND;ND
2007;B0600538400000;Person;Marina Person;Documentário;Lauper Films;SP;Dezenove Som E Imagens;SP;Mais Filmes;3;1518;9834
2007;B0700680800000;Podecrer!;Arthur Fontes;Ficção;Conspiração Filmes;RJ;Teleimage/Estudios Quanta;SP/SP;Sony;60;43833;361507
2007;B0901091100000;Porto Alegre – Meu Canto No Mundo;Cícero Aragon/Jaime Lerner;Documentário;Infoco Filmes;RS;-;-;Panda Filmes;2;1356;7812
2007;B0700787100000;Pqd;Guilherme Coelho;Documentário;Matizar;RJ;-;-;Videofilmes;5;3140;14570
2007;B0700714700000;Primo Basílio;Daniel Filho;Ficção;Lereby;RJ;-;-;Buena Vista;163;838726;6376703
2007;B0600555300000;Pro Dia Nascer Feliz;João Jardim;Documentário;Fogo Azul Filmes;RJ;Tambellini Filmes;RJ;Copacabana Filmes;5;51140;325211
2007;B0600524400000;Proibido Proibir;Jorge Durán;Ficção;Deserto Filmes;RJ;Amado Arte&Produção;RJ;Riofilme/Mais Filmes;13;37182;298600
2007;B0600593100000;Querô;Carlos Cortez;Ficção;Gullane;SP;-;-;Downtown;18;20178;144823
2007;B0600578000000;Remissão;Silvio Coutinho;Ficção;Plateau Films;RJ;-;-;Riofilme;3;298;2147
2007;B0500442900000;Sambando Nas Brasas, Morô?;Elizeu Ewald;Documentário;E.S. Comunicações;RJ;Plural Filmes;RJ;Riofilme;3;1072;7979
2007;B0700696000000;Saneamento Básico, O Filme;Jorge Furtado;Ficção;Casa De Cinema De Porto Alegre;RS;-;-;Sony;58;190656;1472475
2007;B0700739200000;Santiago;João Moreira Salles;Documentário;Videofilmes;RJ;-;-;Videofilmes;3;55686;481982
2007;B0700778100000;Sem Controle;Cris D'Amato;Ficção;Ananã Produções;RJ;-;-;Fox;40;23598;185307
2007;B0600470800000;Serras Da Desordem;Andrea Tonacci;Ficção;Extrema Produção Artística;SP;-;-;Usina Digital;1;273;2341
2007;B0700759000000;Tropa De Elite;José Padilha;Ficção;Feijão Filmes/Posto 9/Zazen Produções;SP/RJ/RJ;-;-;Universal;321;2421295;20422567
2007;B0700655500000;Viúva Rica Solteira Não Fica;José Fonseca E Costa;Ficção;Plateau Produções;SP;-;-;Mais Filmes;2;1494;13039
2007;B0700798700000;Xuxa Em Sonho De Menina;Rudi Lagemann;Ficção;Conspiração Filmes/Warner;RJ/SP;-;-;Warner;220;348391;2009997
2007;B0500438300000;À Margem Do Concreto;Evaldo Mocarzel;Documentário;24 Vps Filmes;SP;-;-;Mais Filmes;3;718;4717
2007;B0700653200000;Ó Pai, Ó;Monique Gardenberg;Ficção;Dezenove Som E Imagens/Dueto Filmes;SP/RJ;-;-;Europa/Mam;100;397075;3172654
2007;B0700648100000;Ódiquê?;Felipe Joffily;Ficção;Santa Luzia Artes;RJ;-;-;Filmes Do Estação;5;3204;23951
2008;B0800873400000;1958, O Ano Em Que O Mundo Descobriu O Brasil;José Carlos Asberg;Documentário;Palmares Produções E Jornalismo;RJ;-;-;Pandora;7;3520;26049
2008;B0700678800000;5 Frações De Uma Quase História;Armando Mendz/Cristiano Abud/Cris Azzi/Guilherme Fiúza Zenha/Lucas Gontijo/Thales Bahia;Ficção;Camisa Listrada;RJ;-;-;Usina Digital;4;6420;45554
2008;B0700757800000;A Dança Da Vida;Juan Zapata;Documentário;Estação Filmes;RS;-;-;Zapata Filmes;6;334;1574,5
2008;B0800888500000;A Guerra Dos Rocha;Jorge Fernando;Ficção;Total Entertainment;RJ;Globo Filmes/Lereby;RJ/RJ;Fox;90;345964;2382939
2008;B0800937100000;A Margem Da Linha;Gisella Callas;Documentário;Cinerama Films;SP;-;-;Cinerama Films;7;396;2199,76
2008;B0800902000000;A Mulher Do Meu Amigo;Cláudio Torres;Ficção;Conspiração Filmes;RJ;-;-;Disney;59;164818;1152359
2008;B0700764700000;A Outra Margem;Luis Filipe Rocha;Ficção;Plateau Produções;SP;-;-;Polifilmes;2;1615;12349
2008;B0700787400000;Ainda Orangotangos;Gustavo Spolidoro;Ficção;Rainer Cine;RS;-;-;Pandora;5;7279;51484,2
2008;B0800839000000;Andarilho;Cao Guimarães;Documentário;Cinco Em Ponto;MG;-;-;Usina Digital;4;2229;12314
2008;B0700808000000;As Filhas De Chiquita;Priscilla Brasil;Documentário;Greenvision;PA;-;-;Iaiá Filmes;2;270;1228,92
2008;B0800900900000;Bezerra De Menezes - O Diário De Um Espírito;Glauber Filho/Joe Pimentel;Ficção;Estação Da Luz;CE;-;-;Fox;49;443143;3534245
2008;B0800855500000;Bodas De Papel;André Sturm;Ficção;Pandora Filmes;SP;-;-;Pandora;15;16462;96290
2008;B0800827500000;Brigada Pára-Quedista;Evaldo Mocarzel;Documentário;Casa Azul Produções/Raiz Produções;SP/SP;-;-;Polifilmes;1;162;786
2008;B0800935300000;Café Dos Maestros;Miguel Kohan;Documentário;Videofilmes;RJ;-;-;Videofilmes;12;33150;282667,76
2008;B0800822800000;Cana Quente;Luiz Alberto Zakir;Ficção;Glaz Entretenimento;RJ;-;-;Glaz;1;163;550,5
2008;B0800899200000;Casa Da Mãe Joana;Hugo Carvana;Ficção;Mac Comunicacão;RJ;Globo Filmes/Lereby/Quanta-Rio;RJ/RJ/RJ;Imagem;151;525035;3852415,78
2008;B0700642900000;Castelar E Nelson Dantas No País Dos Generais;Carlos Alberto Prates Correia;Documentário;Sertaneja De Cinema;RJ;-;-;Iaiá Filmes;3;450;3226,5
2008;B0800826700000;Chega De Saudade;Laís Bodanzky;Ficção;Buriti Filmes/Gullane;SP/SP;-;-;Disney;31;205893;1591603
2008;B0800842100000;Cleópatra;Julio Bressane;Ficção;Filmes Do Rio De Janeiro;RJ;-;-;Riofilme;5;7241;45116
2008;B0700799500000;Condor;Roberto Mader;Documentário;Focus Films/Taba Filmes;RJ/RJ;-;-;Lumière;12;ND;ND
2008;B0500431500000;Corpo;Rossana Foglia/Rubens Rewald;Ficção;Glaz Entretenimento;RJ;Confeitaria De Cinema;SP;Pandora;5;5428;33965
2008;B0700758900000;Deserto Feliz;Paulo Caldas;Ficção;Camará Produções/Paulo Caldas;PE/-;-;-;Filmes Do Estação;11;10829;56728,3
2008;B0800841700000;Devoção;Sérgio Sanz;Documentário;J.Sanz Produção Audiovisual;RJ;-;-;Riofilme;6;2608;18643
2008;B0800934800000;Dias E Noites;Beto Souza;Ficção;Voglia Produções;RJ;Panda Filmes/Quanta Porto Alegre/Film Factory;RS/RS/RJ;Playarte;27;6539;47531,15
2008;B0700752700000;Dot.Com;Luís Galvão Teles;Ficção;Videofilmes;RJ;-;-;Videofilmes;6;5478;46984
2008;B0800890100000;Encarnação Do Demônio;José Mojica Marins;Ficção;Olhos De Cão;SP;Gullane;SP;Fox;37;25762;184403
2008;B0800867500000;Ensaio Sobre A Cegueira;Fernando Meirelles;Ficção;O2 Filmes;SP;-;-;Fox;97;904514;7772105
2008;B0800947000000;Entre Lençóis;Gustavo Nieto Roa;Ficção;Code 7 Entertainment;SP;Centauro Filmes/Swen Filmes/Only Movies Productions/Renê Belmonte;SP/SP/RJ/-;Imagem;115;136605;1120042
2008;B0800889600000;Era Uma Vez...;Breno Silveira;Ficção;Conspiração Filmes;RJ;Globo Filmes/Lereby/Teleimage;RJ/RJ/SP;Sony;89;570470;4558034
2008;B0700777200000;Estômago;Marcos Jorge;Ficção;Zencrane Filmes;SP;-;-;Downtown;19;90498;808377
2008;B0800840400000;Falsa Loura;Carlos Reichenbach;Ficção;Dezenove Som E Imagens/Vereda Filmes;SP/RJ;-;-;Imovision;9;11786;82600
2008;B0800888300000;Feliz Natal;Selton Mello;Ficção;Bananeira Filmes/Mondo Cane Filmes;RJ/RJ;Teleimage/Locall;SP/SP;Europa;20;28824;197197,95
2008;B0700739300000;Fim Da Linha;Gustavo Steinberg;Ficção;Bits Filmes;SP;-;-;Pandora;4;10114;23858
2008;B0800935400000;Fronteira;Rafael Conde;Ficção;Filmegraph;MG;-;-;Usina Digital;2;1475;11685,9
2008;B0700664600000;Garoto Cósmico;Alê Abreu;Animação;Filme De Papel;SP;-;-;Downtown;28;36461;179840
2008;B0700651400000;Iluminados;Cristina Leal;Documentário;Comtexto Produções;RJ;-;-;Downtown;3;1168;9447
2008;B0800959700000;Juventude;Domingos De Oliveira;Ficção;Teatro Ilustre Produções Artísticas;RJ;Forte Filmes;RJ;Filmes Do Estação;10;17698;169760,12
2008;B0700670400000;Juízo;Maria Augusta Ramos;Documentário;Diler & Associados/Nofoco Filmes;RJ/RJ;-;-;Filmes Do Estação;6;20367;137240
2008;B0700753300000;L.A.P.A;Cavi Borges/Emílio Domingos;Documentário;Cavideo Produções;RJ;-;-;Pipa;2;809;3232
2008;B0800895900000;Linha De Passe;Daniela Thomas/Walter Salles;Ficção;Videofilmes;RJ;-;-;Paramount;58;165956;1446783
2008;B0700761400000;Maré, Nossa História De Amor;Lucia Murat;Ficção;Taiga Filmes E Vídeo;RJ;-;-;Filmes Do Estação;39;28268;165520
2008;B0700794200000;Memória Para Uso Diário;Beth Formaggini;Documentário;4 Ventos Comunicação;RJ;-;-;Pipa;3;430;1459
2008;B0800902900000;Meu Brasil;Daniela Broitman;Documentário;Videoforum Filmes;SP;-;-;Pipa;3;1008;3941,75
2008;B0700781900000;Meu Nome Não É Johnny;Mauro Lima;Ficção;Atitude Produções;RJ;-;-;Sony/Downtown;104;2099294;18092043
2008;B0800842400000;Meu Nome É Dindi;Bruno Safadi;Ficção;Tb Produções;RJ;-;-;Riofilme;5;1379;6179
2008;B0700719300000;Mulheres Sexo Verdades Mentiras;Euclydes Marinho;Ficção;Dona Rosa Filmes;RJ;Euclydes Marinho/Quanta-Rio;-/RJ;Filmes Do Estação;7;16219;151367
2008;B0600532400000;Musicagen;Edu Felistoque/Nereu Cerdeira;Documentário;Raiz Produções;SP;-;-;Raiz Produções;1;310;1717
2008;B0800858600000;Nome Próprio;Murilo Salles;Ficção;Cinema Brasil Digital;RJ;-;-;Downtown;12;32769;270962
2008;B0800870900000;Nossa Vida Não Cabe Num Opala;Reinaldo Pinheiro;Ficção;Sequência 1;SP;-;-;Imovision;7;21982;83528
2008;B0800890900000;O Aborto Dos Outros;Carla Gallo;Documentário;Olhos De Cão;SP;-;-;Califórnia;3;2164;15418
2008;B0800821600000;O Banheiro Do Papa;Cesar Charlone/Enrique Fernandez;Ficção;O2 Filmes;SP;-;-;Imovision;10;66770;550316
2008;B0700767100000;O Demoninho De Olhos Pretos;Haroldo Marinho Barbosa;Ficção;Valentim Produções Artísticas;RJ;-;-;Moviemobz;2;264;2853,5
2008;B0800877500000;O Guerreiro Didi E A Ninja Lili;Marcus Figueiredo;Ficção;Diler & Associados;RJ;-;-;Disney;130;647555;2996388
2008;B0700688200000;O Mistério Da Estrada De Sintra;Jorge Paixão Da Costa;Ficção;Teleimage Productions;SP;-;-;Teleimage;4;687;5451
2008;B0800895200000;O Mistério Do Samba;Carolina Jabor/Lula Buarque De Hollanda;Documentário;Conspiração Filmes/Monte Criação E Produção;RJ/RJ;-;-;Videofilmes;18;34022;292633,4
2008;B0800885900000;O Retorno;Rodolfo Nanni;Documentário;Akron;SP;-;-;Pandora;2;579;4762
2008;B0800850800000;O Sal Da Terra;Eloi Pires Ferreira;Ficção;Camarada Filmes;PR;-;-;Labo Comunicação;5;ND;ND
2008;B0700802200000;O Signo Da Cidade;Carlos Alberto Riccelli;Ficção;Pulsar Cinema;SP;-;-;Europa;11;58631;417655
2008;B0800850500000;O Tempo E O Lugar;Eduardo Escorel;Documentário;Cinefilmes;RJ;-;-;Videofilmes;4;1512;11168
2008;B0700805300000;Olho De Boi;Hermano Penna;Ficção;Luz Xxi;SP;-;-;Pandora;4;1295;7166
2008;B0700801600000;Onde Andará Dulce Veiga?;Guilherme De Almeida Prado;Ficção;Raiz Produções/Star Filmes;SP/SP;-;-;Califórnia;3;3917;31930
2008;B0800838700000;Orquestra Dos Meninos;Paulo Thiago;Ficção;Melodrama Produções;RJ;Globo Filmes/Lereby/Vitória Produções/Apema Filmes;RJ/RJ/RJ/RJ;Paramount;52;84469;448330
2008;B0800839700000;Os Desafinados;Walter Lima Junior;Ficção;Tambellini Filmes;RJ;Walter Lima Junior/Urca Filmes;RJ/RJ;Downtown;65;194292;1663928,28
2008;B0800833500000;Otávio E As Letras;Marcelo Masagão;Ficção;Um Minuto;SP;-;-;Imovision;1;876;6322
2008;B0800891400000;Panair Do Brasil;Marco Altberg;Documentário;Indiana Produções;RJ;-;-;Downtown;4;3951;31377,5
2008;B0700782600000;Pan-Cinema Permanente;Carlos Nader;Documentário;Já Filmes;SP;-;-;Já Filmes;8;4297;22282,33
2008;B0700810200000;Pequenas Histórias;Helvécio Ratton;Ficção;Quimera Filmes;MG;-;-;Filmes Do Estação;36;72222;329482
2008;B0800911900000;Pindorama - A Verdadeira História Dos Sete Anões;Leo Crivellare/Lula Queiroga/Roberto Berliner;Documentário;Luni Produções/Tv Zero Cinema;PE/RJ;-;-;Moviemobz;10;1636;10307,16
2008;B0700650300000;Polaróides Urbanas;Miguel Falabella;Ficção;Columbia Tristar Filmes Do Brasil/Filmes Do Equador;SP/RJ;-;-;Disney;33;108277;837665
2008;B0800891700000;Pretérito Perfeito;Gustavo Pizzi;Documentário;Saraguina Filmes;RJ;-;-;Pipa;3;1547;8434
2008;B0600475700000;Quarta B;Marcelo Galvão;Ficção;Gatacine;SP;-;-;Gatacine;1;356;2332
2008;B0800932800000;Romance;Guel Arraes;Ficção;Globo Filmes/Uns Produções E Filmes;RJ/RJ;-;-;Disney;88;307273;2034230
2008;B0700749900000;Romance Do Vaqueiro Voador;Manfredo Caldas;Documentário;Folkino Produções Audiovisuais;DF;-;-;Polifilmes;7;1010;5717,8
2008;B0700812400000;Sexo Com Amor?;Wolf Maya;Ficção;Total Entertainment;RJ;Centauro Comunicaciones;SP;Fox;122;432195;3547305
2008;B0800856300000;Show De Bola;Alexander Pickl;Ficção;Ab Internacional Entretenimento/Ananã Produções;SP/RJ;-;-;Imagem;41;26833;191318
